word,in documents,total
lawan,2899,3350
kita,304,405
yang,307,395
rakyat,232,276
malaysia,225,245
buat,188,224
notmypm,218,219
lawanintimidasi,212,212
kalau,153,171
untuk,139,166
tapi,152,165
kerajaangag,149,159
poli,125,154
kerajaan,120,140
kena,128,139
dengan,125,137
polic,119,137
peopl,121,135
protest,122,135
covid,130,134
orang,107,131
lagi,118,128
bukan,119,126
boleh,113,123
jadi,112,123
muda,104,121
semua,110,121
akan,95,109
lawantetaplawan,106,106
merdeka,95,106
umno,86,106
dari,85,97
hari,85,97
mereka,77,96
sebab,81,91
cancel,90,90
kerajaaangag,87,89
dataran,81,86
fight,81,85
baru,80,83
mana,68,82
jangan,77,81
time,70,79
vote,64,79
kami,60,78
macam,71,78
sampai,72,77
betul,67,76
negara,58,73
sabri,68,73
tidak,62,72
bila,68,71
geng,61,71
ismail,68,71
saya,56,71
govern,63,69
ismailsabri,67,69
parti,56,68
anak,58,67
teru,62,67
budak,46,65
know,58,64
takut,62,64
vigil,62,64
countri,61,63
malaysian,58,63
tetap,61,63
dalam,58,62
politik,50,61
turun,56,61
perhimpunan,55,60
prote,50,58
stop,54,58
jalan,53,57
kata,50,57
kenapa,50,56
masa,52,56
pdrm,53,56
support,46,56
benda,48,55
korang,46,55
bagi,51,53
kerja,46,53
lain,50,53
make,51,53
pleas,50,53
sama,49,53
masih,49,52
arrest,47,51
keep,47,51
sekarang,50,51
tutup,43,51
baik,46,49
want,47,49
gagal,39,48
happen,44,48
give,43,47
satu,41,47
sendiri,42,47
anwaribrahim,45,46
hope,44,46
kuasa,43,46
power,39,46
take,44,46
bodoh,40,45
menteri,37,45
dulu,42,44
guna,43,44
pdrmsia,42,44
ramai,42,44
solidar,43,44
tengok,39,44
dapat,39,43
kepada,38,43
ralli,41,43
siapa,39,42
telah,37,42
kerana,38,41
perlu,38,41
chang,38,40
good,39,40
lepa,37,39
nanti,38,39
regist,34,39
salah,34,39
terima,38,39
democraci,37,38
elect,37,38
juga,37,38
memori,36,38
pada,37,38
sudah,37,38
undi,37,38
hitam,32,37
minist,33,37
oleh,35,37
pergi,36,37
rumah,37,37
anda,27,36
continu,34,36
polit,32,36
pulak,34,36
rememb,33,36
activist,32,35
anwar,34,35
cara,30,35
come,35,35
gui,30,35
okai,35,35
pihak,33,35
stai,32,35
ata,31,34
call,33,34
year,32,34
black,33,33
demo,31,33
esok,31,33
help,27,33
memang,32,33
naik,32,33
think,32,33
tolakintimidasi,33,33
twitter,28,33
youth,29,33
diorang,27,32
ikut,29,32
join,28,32
jugak,30,32
media,28,32
tahu,31,32
tomorrow,29,32
amal,27,31
balik,27,31
berkumpul,27,31
look,29,31
nama,26,31
sokong,28,31
takd,31,31
tunggu,30,31
tweet,29,31
bendera,26,30
case,28,30
court,29,30
dibatalkan,29,30
go,30,30
jaga,26,30
live,27,30
night,28,30
oppon,23,30
rasa,28,30
sangat,30,30
sikit,24,30
thank,28,30
hanya,29,29
lebih,25,29
show,26,29
syedsaddiq,29,29
undang,18,29
dekat,24,28
ingat,26,28
kasih,28,28
organis,26,28
sebagai,27,28
semalam,28,28
stand,25,28
takkan,27,28
adalah,25,27
caus,26,27
dont,26,27
feel,26,27
pakai,22,27
peac,26,27
punya,27,27
start,25,27
thing,26,27
berhimpun,21,26
cakap,23,26
demokrasi,26,26
habi,26,26
hati,25,26
khairul,26,26
malam,25,26
mangsa,25,26
order,24,26
pasal,24,26
right,26,26
atau,24,25
daftar,22,25
himpunan,21,25
intimid,25,25
lost,24,25
menang,25,25
movement,25,25
nadzir,25,25
nampak,22,25
part,25,25
partimuda,25,25
saja,23,25
semangat,23,25
tiada,22,25
datang,23,24
diri,24,24
golongan,18,24
marah,21,24
suara,19,24
walaupun,24,24
cabinet,14,23
friend,22,23
get,21,23
haritu,23,23
hidup,20,23
leader,20,23
makan,16,23
mean,22,23
politician,22,23
biar,18,22
demi,19,22
depa,20,22
kali,21,22
keluar,22,22
kembali,20,22
main,19,22
masuk,21,22
mesti,22,22
muhyiddin,21,22
penat,21,22
state,21,22
video,21,22
aktivi,18,21
baju,18,21
banyak,21,21
daripada,21,21
mail,21,21
mandat,21,21
mengundi,18,21
pengkhianat,19,21
prime,19,21
roadblock,19,21
sini,20,21
tahniah,21,21
tangkap,20,21
young,20,21
baca,18,20
belum,19,20
candlelight,20,20
death,17,20
dsai,20,20
gener,20,20
hahaha,19,20
lawyer,17,20
letak,18,20
month,20,20
mungkin,20,20
pemimpin,20,20
rakan,11,20
resign,18,20
suka,17,20
tahun,20,20
teruskan,20,20
tolong,20,20
work,18,20
bangkit,18,19
berani,17,19
cuma,19,19
fail,17,19
gather,19,19
issu,19,19
jawatan,18,19
kawan,16,19
mahkamah,18,19
mati,18,19
move,18,19
reason,18,19
reformasi,18,19
sekali,19,19
shit,19,19
susah,18,19
ydpa,17,19
ahli,18,18
allah,14,18
bangang,18,18
banjir,14,18
bersama,18,18
corrupt,18,18
dorang,14,18
gemilang,17,18
jalur,17,18
made,16,18
makin,13,18
maria,18,18
nalinadap,18,18
nation,18,18
new,17,18
number,17,18
pandem,18,18
particip,17,18
place,18,18
plai,17,18
plan,13,18
respect,16,18
sana,18,18
taliban,16,18
voic,17,18
agong,16,17
bapak,15,17
berkuasa,17,17
choos,17,17
dai,17,17
duduk,17,17
follow,16,17
futur,16,17
harap,17,17
lama,17,17
lupa,17,17
mampu,15,17
onlin,15,17
parlimen,16,17
pastu,17,17
pembangkang,15,17
person,17,17
puak,15,17
punca,11,17
road,15,17
said,15,17
scare,16,17
secara,16,17
seem,17,17
standard,15,17
tetapi,17,17
anj,15,16
ask,16,16
bersih,16,16
ditahan,15,16
faham,15,16
fear,16,16
forget,14,16
freedom,14,16
hous,16,16
intimidasi,16,16
joke,15,16
kamu,12,16
menjadi,16,16
ogo,15,16
otak,16,16
perjuangan,16,16
pernah,16,16
politiku,15,16
question,14,16
report,14,16
sepatutnya,13,16
social,15,16
strong,15,16
tanpa,16,16
word,16,16
wrong,14,16
benar,13,15
bersatu,14,15
block,14,15
constitut,14,15
doubl,14,15
event,14,15
fact,14,15
keputusan,14,15
muka,12,15
mula,14,15
offic,15,15
pale,15,15
pandai,14,15
patut,14,15
pilih,14,15
pula,15,15
sebenarnya,15,15
takterqyira,15,15
tiba,11,15
tukar,13,15
watch,14,15
abus,12,14
adakah,10,14
appoint,13,14
assembl,14,14
attend,12,14
bang,11,14
bantu,12,14
diam,14,14
dine,13,14
duit,13,14
famili,14,14
flag,12,14
focu,13,14
haha,14,14
human,14,14
ibrahim,14,14
jika,14,14
kalah,13,14
kisah,13,14
love,14,14
melayu,10,14
opposit,12,14
padah,14,14
peluang,14,14
peserta,14,14
raja,11,14
safe,13,14
segala,13,14
selamat,14,14
sibuk,14,14
side,14,14
silap,11,14
street,14,14
sukarelawan,13,14
tanah,11,14
terhadap,13,14
tire,12,14
vaccin,12,14
wait,14,14
aman,11,13
bagu,13,13
bayar,11,13
beza,13,13
bulan,13,13
citizen,13,13
cukup,13,13
differ,13,13
elok,13,13
face,13,13
fine,12,13
frontlin,12,13
keluarga,11,13
kene,12,13
kerjasama,12,13
kesian,11,13
major,12,13
mase,8,13
melawan,13,13
other,12,13
penganjur,13,13
pengundi,11,13
pent,13,13
point,12,13
protestor,12,13
racist,13,13
sebelum,13,13
semoga,13,13
setuju,11,13
station,13,13
tahan,13,13
tengah,12,13
transport,12,13
action,12,12
actual,12,12
awal,11,12
balai,12,12
beberapa,12,12
becom,12,12
berapa,12,12
berjuang,12,12
berlaku,12,12
bersuara,11,12
besar,11,12
bise,11,12
